Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
1,26492,457,1884.0,3313,6600,5159,4002,3288,2312,1169,646,3,13639,12807,46,9306,1132,5079,7192,1128,2655,0,4,7,16,41,107,126,156,0,168,289,0,153,37,157,105,4,1,28.0,123.0,144.0,181.0,279.0,413.0,384.0,330.0,2.0,903.0,981.0,0.0,525.0,63.0,804.0,409.0,61.0,22.0
2,9424,233,910.0,1190,2408,1799,1378,1186,812,394,257,0,4761,4657,6,2877,403,2007,2812,433,892,0,2,4,16,22,45,67,77,0,96,137,0,66,7,85,72,2,1,22.0,74.0,86.0,95.0,153.0,195.0,151.0,134.0,0.0,473.0,437.0,0.0,228.0,26.0,410.0,198.0,34.0,14.0
3,12764,145,932.0,1617,4058,2722,1680,1353,842,305,187,0,6422,6334,8,3235,643,2689,4516,562,1119,0,1,4,10,23,32,25,50,0,67,78,0,40,11,57,36,0,1,23.0,90.0,93.0,121.0,190.0,198.0,123.0,94.0,0.0,487.0,445.0,0.0,224.0,27.0,440.0,195.0,41.0,5.0
4,18267,186,1660.0,3068,4789,3920,2733,1961,1083,439,274,0,9659,8600,8,4772,808,6012,4425,519,1731,1,3,5,18,44,37,33,45,0,71,115,0,56,11,80,35,2,2,42.0,134.0,200.0,242.0,341.0,305.0,222.0,174.0,0.0,860.0,800.0,0.0,340.0,40.0,959.0,254.0,40.0,27.0
5,7855,203,1174.0,1464,1792,1518,1111,934,632,250,154,0,4304,3548,3,1907,248,3458,1226,196,820,1,4,5,14,22,51,55,51,0,101,102,0,43,6,119,34,1,0,30.0,117.0,145.0,174.0,237.0,244.0,127.0,100.0,0.0,625.0,549.0,0.0,202.0,17.0,760.0,152.0,24.0,19.0
6,1589,98,283.0,314,358,306,232,166,121,67,25,0,847,741,1,415,49,597,303,47,178,0,0,4,12,25,26,23,8,0,52,46,0,36,2,44,15,1,0,14.0,27.0,43.0,42.0,58.0,43.0,33.0,23.0,0.0,163.0,120.0,0.0,75.0,8.0,149.0,42.0,6.0,3.0
7,4812,43,361.0,764,1361,1180,611,470,229,140,57,0,2522,2276,14,932,160,1383,1494,171,672,0,1,2,5,9,10,10,6,0,26,17,0,10,1,28,4,0,0,14.0,53.0,58.0,54.0,65.0,43.0,38.0,36.0,0.0,194.0,167.0,0.0,67.0,9.0,206.0,63.0,7.0,9.0
8,14921,106,1032.0,2378,3912,3545,2067,1394,896,499,229,1,7591,7303,27,3190,582,3818,4566,561,2204,2,4,6,7,22,22,14,29,0,45,61,0,17,4,63,22,0,0,30.0,107.0,149.0,137.0,190.0,170.0,140.0,109.0,0.0,546.0,486.0,0.0,211.0,15.0,549.0,217.0,24.0,16.0
9,12626,156,960.0,2759,2986,2608,1606,1196,837,413,221,0,6647,5953,26,2468,498,3520,3726,823,1591,0,3,13,19,21,25,33,42,0,68,88,0,40,5,75,34,1,1,26.0,91.0,121.0,142.0,166.0,185.0,111.0,118.0,0.0,513.0,447.0,0.0,189.0,19.0,511.0,191.0,27.0,23.0
10,9671,119,683.0,2202,2003,1975,1263,1009,720,343,156,0,5017,4634,20,1732,436,2340,3283,738,1142,0,1,5,10,22,29,25,27,0,50,69,0,31,4,53,31,0,0,12.0,60.0,92.0,75.0,125.0,135.0,110.0,74.0,0.0,382.0,301.0,0.0,141.0,20.0,314.0,166.0,30.0,12.0
11,17666,135,1137.0,4157,3580,3703,2379,1791,1138,538,379,1,9063,8539,64,2917,513,3990,5585,1497,3164,0,2,8,8,14,33,25,45,0,70,65,0,30,6,67,32,0,0,29.0,84.0,126.0,124.0,187.0,224.0,195.0,168.0,0.0,582.0,555.0,0.0,243.0,28.0,511.0,290.0,40.0,25.0
12,113356,369,4028.0,20563,29539,24657,15832,11210,6825,3030,1652,48,62004,50964,388,20660,3854,30576,28452,8945,20869,0,2,17,22,46,88,96,98,0,162,207,0,66,12,178,113,0,0,194.0,441.0,420.0,416.0,616.0,772.0,628.0,540.0,1.0,2052.0,1976.0,0.0,743.0,72.0,2173.0,840.0,127.0,73.0
