Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
1,91034,781,4571.0,21157,18060,16084,12058,10249,7386,3698,2308,34,49021,41639,374,22408,4782,17228,21980,5887,18749,1,5,7,36,85,160,181,306,0,372,409,0,149,24,400,199,7,2,185.0,391.0,405.0,391.0,648.0,929.0,755.0,866.0,1.0,2392.0,2178.0,1.0,1021.0,134.0,2116.0,1076.0,151.0,73.0
2,9240,226,644.0,2260,1965,1675,1104,892,663,428,247,6,4797,4336,107,1931,638,1423,2916,503,1829,0,3,5,18,24,50,55,71,0,91,135,0,58,8,87,66,7,0,21.0,49.0,71.0,62.0,84.0,96.0,136.0,124.0,1.0,330.0,314.0,0.0,170.0,23.0,233.0,188.0,15.0,15.0
3,6132,49,303.0,1302,1368,1375,782,577,389,224,113,2,3321,2717,94,899,423,770,2503,393,1144,1,1,0,2,4,4,14,23,0,28,21,0,13,0,19,17,0,0,21.0,30.0,52.0,20.0,34.0,42.0,60.0,44.0,0.0,163.0,140.0,0.0,66.0,7.0,108.0,107.0,7.0,8.0
4,16717,16,423.0,3066,3927,3851,2340,1583,1069,597,283,1,9425,7140,152,2540,1481,2187,6700,1101,2708,0,0,0,0,3,4,3,6,0,7,9,0,6,1,5,3,1,0,24.0,48.0,52.0,37.0,51.0,72.0,61.0,78.0,0.0,244.0,179.0,0.0,70.0,12.0,149.0,164.0,19.0,9.0
5,34279,27,910.0,7874,6588,6881,4729,3687,2421,1333,762,4,19332,14764,183,6652,2931,6346,11221,1863,5266,0,1,0,0,2,5,9,10,0,9,18,0,1,0,10,12,4,0,40.0,75.0,91.0,77.0,106.0,133.0,150.0,235.0,3.0,488.0,422.0,0.0,149.0,46.0,355.0,317.0,31.0,12.0
6,25259,29,1045.0,3931,5151,5326,3684,3062,2186,1221,698,0,14494,10634,131,5506,1969,5721,6947,1256,3860,0,0,1,2,2,5,5,14,0,12,17,0,4,2,9,13,1,0,59.0,87.0,119.0,93.0,117.0,171.0,164.0,235.0,0.0,551.0,493.0,1.0,183.0,54.0,456.0,290.0,40.0,22.0
7,24710,51,1239.0,3286,4781,4859,3581,3386,2539,1442,833,3,14100,10499,111,5715,1589,6621,5981,1212,3592,0,0,3,0,5,4,10,29,0,21,30,0,7,3,24,17,0,0,67.0,119.0,114.0,101.0,146.0,218.0,204.0,270.0,0.0,643.0,595.0,1.0,244.0,54.0,556.0,324.0,36.0,25.0
8,20534,45,1310.0,3062,3842,3598,2873,2735,2206,1343,868,7,11768,8677,89,5364,1145,5403,4654,983,2985,0,1,0,1,6,8,6,23,0,22,23,0,11,4,12,18,0,0,73.0,104.0,123.0,110.0,156.0,230.0,221.0,291.0,2.0,688.0,621.0,1.0,268.0,36.0,612.0,339.0,40.0,15.0
9,12116,31,841.0,2393,1932,1954,1581,1577,1226,875,573,5,6981,5102,33,3162,690,3246,2927,527,1564,0,0,0,0,0,4,5,22,0,15,16,0,5,1,9,16,0,0,48.0,54.0,72.0,64.0,99.0,128.0,188.0,187.0,1.0,429.0,412.0,0.0,188.0,28.0,327.0,252.0,28.0,18.0
10,6936,15,347.0,1220,1054,1039,840,909,861,572,402,39,3946,2960,30,1557,366,2111,1724,285,893,0,0,0,0,2,3,6,4,0,7,8,0,5,2,4,4,0,0,46.0,29.0,37.0,19.0,43.0,54.0,58.0,61.0,0.0,182.0,164.0,1.0,71.0,15.0,114.0,106.0,25.0,16.0
